Rank	Bib	Athlete	NOC	Total				
5	04603	DAVNAM Parth	IND	8.22		. Men's Qiang (Spear)-Group D	Wushu Taolu	Emeishan
1	04327	JULLIAN Banyan Noel Yu Hai	USA	8.9	1ST Prize	. Three Person Duilian	Wushu Taolu	Emeishan
1	04327	SPIRO Oliver Sheldon	USA	8.9	1ST Prize	. Three Person Duilian	Wushu Taolu	Emeishan
1	04327	WONG Kaden Dan	USA	8.9	1ST Prize	. Three Person Duilian	Wushu Taolu	Emeishan
2	04207	KOVALOV Mykyta	UKR	8.81	2ND Prize	. Three Person Duilian	Wushu Taolu	Emeishan
2	04207	NAIDA Bohdan	UKR	8.81	2ND Prize	. Three Person Duilian	Wushu Taolu	Emeishan
2	04207	SHYNKARENKO Volodymyr	UKR	8.81	2ND Prize	. Three Person Duilian	Wushu Taolu	Emeishan
3	04404	LE Gia Han	VNM	8.7	3RD Prize	. Three Person Duilian	Wushu Taolu	Emeishan
3	04404	LE Tran Bao Tran	VNM	8.7	3RD Prize	. Three Person Duilian	Wushu Taolu	Emeishan
3	04404	NGUYEN Thi Thao Nguyen	VNM	8.7	3RD Prize	. Three Person Duilian	Wushu Taolu	Emeishan
4	00501	GAO Sen	BOL	8.54	3RD Prize	. Three Person Duilian	Wushu Taolu	Emeishan
4	00501	GUEVARA PINEDO Wara Lucero	BOL	8.54	3RD Prize	. Three Person Duilian	Wushu Taolu	Emeishan
4	00501	HUANACUNI PINEDO Huaskar Soriam	BOL	8.54	3RD Prize	. Three Person Duilian	Wushu Taolu	Emeishan
5	04001	BELLOUMI Jihed	TUN	8.4		. Three Person Duilian	Wushu Taolu	Emeishan
5	04001	EL MABROUK Rafed	TUN	8.4		. Three Person Duilian	Wushu Taolu	Emeishan
5	04001	HEMLI Sirine	TUN	8.4		. Three Person Duilian	Wushu Taolu	Emeishan
6	04601	BHATI Shivam	IND	8.35		. Three Person Duilian	Wushu Taolu	Emeishan
6	04601	DAVNAM Parth	IND	8.35		. Three Person Duilian	Wushu Taolu	Emeishan
6	04601	HUSSAIN Saddam	IND	8.35		. Three Person Duilian	Wushu Taolu	Emeishan
1	01303	AMMAR MOHAMED Ibrahim Ismail	EGY	8.78	1ST Prize	. Two Person Duilian	Wushu Taolu	Emeishan
1	01303	OMAR EMAD Shehata Tony	EGY	8.78	1ST Prize	. Two Person Duilian	Wushu Taolu	Emeishan
2	04709	KOW Zer Xuan	MYS	8.74	1ST Prize	. Two Person Duilian	Wushu Taolu	Emeishan
2	04709	WONG Yu Wen	MYS	8.74	1ST Prize	. Two Person Duilian	Wushu Taolu	Emeishan
3	00606	DA SILVA CAPELAZZO Anthony	BRA	8.64	2ND Prize	. Two Person Duilian	Wushu Taolu	Emeishan
3	00606	MASCHERPE CUELBAS Joao Pedro	BRA	8.64	2ND Prize	. Two Person Duilian	Wushu Taolu	Emeishan
4	03105	GARCIA MAZUECOS Francisco	ESP	8.61	2ND Prize	. Two Person Duilian	Wushu Taolu	Emeishan
4	03105	RAJA CATALA Vicente	ESP	8.61	2ND Prize	. Two Person Duilian	Wushu Taolu	Emeishan
5	03316	NG Shao Chun	SGP	8.6	2ND Prize	. Two Person Duilian	Wushu Taolu	Emeishan
5	03316	YAP Wei Sheng Wilson	SGP	8.6	2ND Prize	. Two Person Duilian	Wushu Taolu	Emeishan
6	01519	ZEDDA Ivo	ITA	8.58	2ND Prize	. Two Person Duilian	Wushu Taolu	Emeishan
6	01519	ZEDDA Valerio	ITA	8.58	2ND Prize	. Two Person Duilian	Wushu Taolu	Emeishan
7	01803	HEIDTMANN Anna Paulina	DEU	8.57	3RD Prize	. Two Person Duilian	Wushu Taolu	Emeishan
7	01803	JANSEN Kai Frank	DEU	8.57	3RD Prize	. Two Person Duilian	Wushu Taolu	Emeishan
8	01402	AZEVEDO Miguel Angelo	PRT	8.55	3RD Prize	. Two Person Duilian	Wushu Taolu	Emeishan
8	01402	TAVARES DE ALMEIDA Sergio	PRT	8.55	3RD Prize	. Two Person Duilian	Wushu Taolu	Emeishan
9	03013	IOANA Marius Andrei	ROU	8.54	3RD Prize	. Two Person Duilian	Wushu Taolu	Emeishan
9	03013	IOANA Mihai	ROU	8.54	3RD Prize	. Two Person Duilian	Wushu Taolu	Emeishan
10	00103	LIN Sanzhe	FRA	8.53	3RD Prize	. Two Person Duilian	Wushu Taolu	Emeishan
10	00103	POINT Flora	FRA	8.53	3RD Prize	. Two Person Duilian	Wushu Taolu	Emeishan
11	00401	DAOUDI Moubarak	BEL	8.52	3RD Prize	. Two Person Duilian	Wushu Taolu	Emeishan
11	00401	VERHEYEN Jonathan	BEL	8.52	3RD Prize	. Two Person Duilian	Wushu Taolu	Emeishan
12	01703	CHIKHLADZE Nino	GEO	8.49	3RD Prize	. Two Person Duilian	Wushu Taolu	Emeishan
12	01703	SUMBULASHVILI Lasha	GEO	8.49	3RD Prize	. Two Person Duilian	Wushu Taolu	Emeishan
13	00710	LIU Dominik Xinyang	GBR	8.48		. Two Person Duilian	Wushu Taolu	Emeishan
13	00710	Matthew Carleton WRIGHT	GBR	8.48		. Two Person Duilian	Wushu Taolu	Emeishan
14	02507	MAK Angela Jia Li	AUS	8.45		. Two Person Duilian	Wushu Taolu	Emeishan
14	02507	MAK Sherman Shu Hang	AUS	8.45		. Two Person Duilian	Wushu Taolu	Emeishan
15	05004	KHURSHEDZODA Mirzodalerkhon	TJK	8.44		. Two Person Duilian	Wushu Taolu	Emeishan
15	05004	NURMATOV Sherzod	TJK	8.44		. Two Person Duilian	Wushu Taolu	Emeishan
16	02406	MAXUTOVA Zarina	KAZ	8.39		. Two Person Duilian	Wushu Taolu	Emeishan
16	02406	TULEYEV Aldiyar	KAZ	8.39		. Two Person Duilian	Wushu Taolu	Emeishan
17	04911	IMBULAPITIYE GEDARA Pramodya Sewmini Rathnayake	LKA	8.31		. Two Person Duilian	Wushu Taolu	Emeishan
17	04911	IMI ARACHILLAGE Anuhas Chandupa Ranaweera	LKA	8.31		. Two Person Duilian	Wushu Taolu	Emeishan
18	03901	KOKUMBEK KYZY Eles	KGZ	8.3		. Two Person Duilian	Wushu Taolu	Emeishan
18	03901	TASHMATOVA Aisalkyn	KGZ	8.3		. Two Person Duilian	Wushu Taolu	Emeishan
19	01903	BREZETOS Georgios	GRC	8.28		. Two Person Duilian	Wushu Taolu	Emeishan
19	01903	TSIKRIKAS Konstantinos	GRC	8.28		. Two Person Duilian	Wushu Taolu	Emeishan
	04101	AKYUZ Ayse Sude	TUR	(DNS)		. Two Person Duilian	Wushu Taolu	Emeishan
	04101	COKHAMUR Ecrin	TUR	(DNS)		. Two Person Duilian	Wushu Taolu	Emeishan
	05108	LAM Weng San	MAC	(DNS)		. Two Person Duilian	Wushu Taolu	Emeishan
	05108	ZHU Ieng Ieng	MAC	(DNS)		. Two Person Duilian	Wushu Taolu	Emeishan
1	04401	DAO Vi Dat	VNM	8.81	1ST Prize	. Jiti Group Bare-hand Routine	Wushu Taolu	Emeishan
1	04401	LE Gia Han	VNM	8.81	1ST Prize	. Jiti Group Bare-hand Routine	Wushu Taolu	Emeishan
1	04401	LE Tran Bao Tran	VNM	8.81	1ST Prize	. Jiti Group Bare-hand Routine	Wushu Taolu	Emeishan
1	04401	NGUYEN Thi Thao Nguyen	VNM	8.81	1ST Prize	. Jiti Group Bare-hand Routine	Wushu Taolu	Emeishan
1	04401	PHAM Nguyen Hoang Phuc	VNM	8.81	1ST Prize	. Jiti Group Bare-hand Routine	Wushu Taolu	Emeishan
1	04401	PHAN Van Anh Hao	VNM	8.81	1ST Prize	. Jiti Group Bare-hand Routine	Wushu Taolu	Emeishan
1	04401	TRAN Phan Anh Tuan	VNM	8.81	1ST Prize	. Jiti Group Bare-hand Routine	Wushu Taolu	Emeishan
2	04704	CHOONG Chee Wei	MYS	8.75	2ND Prize	. Jiti Group Bare-hand Routine	Wushu Taolu	Emeishan
2	04704	JAZMIN Alag	MYS	8.75	2ND Prize	. Jiti Group Bare-hand Routine	Wushu Taolu	Emeishan
2	04704	KOW Zer Xuan	MYS	8.75	2ND Prize	. Jiti Group Bare-hand Routine	Wushu Taolu	Emeishan
2	04704	LAM Xue Ying	MYS	8.75	2ND Prize	. Jiti Group Bare-hand Routine	Wushu Taolu	Emeishan
2	04704	WONG Yu Wen	MYS	8.75	2ND Prize	. Jiti Group Bare-hand Routine	Wushu Taolu	Emeishan
2	04704	WONG Zhong Wei	MYS	8.75	2ND Prize	. Jiti Group Bare-hand Routine	Wushu Taolu	Emeishan
3	01901	BEKIARI Maria Ioanna	GRC	8.73	3RD Prize	. Jiti Group Bare-hand Routine	Wushu Taolu	Emeishan
3	01901	BROUSALIS Panagiotis	GRC	8.73	3RD Prize	. Jiti Group Bare-hand Routine	Wushu Taolu	Emeishan
3	01901	KOKKINAKI Anna	GRC	8.73	3RD Prize	. Jiti Group Bare-hand Routine	Wushu Taolu	Emeishan
3	01901	KREMMYDAS Panagiotis	GRC	8.73	3RD Prize	. Jiti Group Bare-hand Routine	Wushu Taolu	Emeishan
3	01901	LAMPADA Maria	GRC	8.73	3RD Prize	. Jiti Group Bare-hand Routine	Wushu Taolu	Emeishan
3	01901	LIONTOU Ioanna	GRC	8.73	3RD Prize	. Jiti Group Bare-hand Routine	Wushu Taolu	Emeishan
3	01901	MAKRIS Panagiotis	GRC	8.73	3RD Prize	. Jiti Group Bare-hand Routine	Wushu Taolu	Emeishan
3	01901	MICHOU Despoina	GRC	8.73	3RD Prize	. Jiti Group Bare-hand Routine	Wushu Taolu	Emeishan
3	01901	PAPAGEORGOPOULOU Marina	GRC	8.73	3RD Prize	. Jiti Group Bare-hand Routine	Wushu Taolu	Emeishan
3	01901	PAPATHANASIOU Theodoros Marios	GRC	8.73	3RD Prize	. Jiti Group Bare-hand Routine	Wushu Taolu	Emeishan
3	01901	TOUROUTSIKA Christina	GRC	8.73	3RD Prize	. Jiti Group Bare-hand Routine	Wushu Taolu	Emeishan
3	01901	TOUROUTSIKAS Panagiotis	GRC	8.73	3RD Prize	. Jiti Group Bare-hand Routine	Wushu Taolu	Emeishan
4	05001	ABDULLO-ZODA Fayzullo	TJK	8.64	3RD Prize	. Jiti Group Bare-hand Routine	Wushu Taolu	Emeishan
4	05001	BAHODUROVA Firuzakhon	TJK	8.64	3RD Prize	. Jiti Group Bare-hand Routine	Wushu Taolu	Emeishan
4	05001	JURAEV Abbos	TJK	8.64	3RD Prize	. Jiti Group Bare-hand Routine	Wushu Taolu	Emeishan
4	05001	KHURSHEDZODA Mirzodalerkhon	TJK	8.64	3RD Prize	. Jiti Group Bare-hand Routine	Wushu Taolu	Emeishan
4	05001	NURMATOV Sherzod	TJK	8.64	3RD Prize	. Jiti Group Bare-hand Routine	Wushu Taolu	Emeishan
4	05001	TABAROV Fotekh	TJK	8.64	3RD Prize	. Jiti Group Bare-hand Routine	Wushu Taolu	Emeishan
4	05001	VALIEV Ilyoskhon	TJK	8.64	3RD Prize	. Jiti Group Bare-hand Routine	Wushu Taolu	Emeishan
5	01501	ABIS Sonia	ITA	8.59		. Jiti Group Bare-hand Routine	Wushu Taolu	Emeishan
5	01501	ANNIS Beatrice	ITA	8.59		. Jiti Group Bare-hand Routine	Wushu Taolu	Emeishan
5	01501	BISONI Gianluigi	ITA	8.59		. Jiti Group Bare-hand Routine	Wushu Taolu	Emeishan
5	01501	MURENU Matteo	ITA	8.59		. Jiti Group Bare-hand Routine	Wushu Taolu	Emeishan
5	01501	ZEDDA Ivo	ITA	8.59		. Jiti Group Bare-hand Routine	Wushu Taolu	Emeishan
5	01501	ZEDDA Valerio	ITA	8.59		. Jiti Group Bare-hand Routine	Wushu Taolu	Emeishan
6	01401	AMADE GONCALVES Cheila	PRT	8.53		. Jiti Group Bare-hand Routine	Wushu Taolu	Emeishan
6	01401	CALADO GUERREIRO Salvador	PRT	8.53		. Jiti Group Bare-hand Routine	Wushu Taolu	Emeishan
6	01401	DA GAMA BARJA David	PRT	8.53		. Jiti Group Bare-hand Routine	Wushu Taolu	Emeishan
6	01401	DE CIMA FERNANDES Edgar	PRT	8.53		. Jiti Group Bare-hand Routine	Wushu Taolu	Emeishan
6	01401	GRAÇA OLIVEIRA CATARINO GONÇALVES Carolina Maria	PRT	8.53		. Jiti Group Bare-hand Routine	Wushu Taolu	Emeishan
6	01401	MARTINS GONCALVES Marco Antonio	PRT	8.53		. Jiti Group Bare-hand Routine	Wushu Taolu	Emeishan
6	01401	RABICO VIDEIRA Maria	PRT	8.53		. Jiti Group Bare-hand Routine	Wushu Taolu	Emeishan
6	01401	RODRIGUES CHARNECO Mariana	PRT	8.53		. Jiti Group Bare-hand Routine	Wushu Taolu	Emeishan
6	01401	TOMÁS BARROSO Tiago	PRT	8.53		. Jiti Group Bare-hand Routine	Wushu Taolu	Emeishan
1	01314	ABDALLA WAEL Mostafa Abdelkarim	EGY	8.9	1ST Prize	. Jiti Group Weapon Routine	Wushu Taolu	Emeishan
1	01314	ADAM AYMAN Morsi Aboelabbas	EGY	8.9	1ST Prize	. Jiti Group Weapon Routine	Wushu Taolu	Emeishan
1	01314	ALKELANY Farouk Alkelany	EGY	8.9	1ST Prize	. Jiti Group Weapon Routine	Wushu Taolu	Emeishan
1	01314	AMMAR MOHAMED Ibrahim Ismail	EGY	8.9	1ST Prize	. Jiti Group Weapon Routine	Wushu Taolu	Emeishan
1	01314	HESHAM NABIL Abdelnabi Mohamed	EGY	8.9	1ST Prize	. Jiti Group Weapon Routine	Wushu Taolu	Emeishan
1	01314	JOHN SAAD Amoun Mocus	EGY	8.9	1ST Prize	. Jiti Group Weapon Routine	Wushu Taolu	Emeishan
1	01314	KARMEN ADEL Rashad Khater	EGY	8.9	1ST Prize	. Jiti Group Weapon Routine	Wushu Taolu	Emeishan
1	01314	MAHMOUD AHMED Abdalla Abdelhalim	EGY	8.9	1ST Prize	. Jiti Group Weapon Routine	Wushu Taolu	Emeishan
1	01314	MALAK IBRAHIM Abouelmaati Mohamed	EGY	8.9	1ST Prize	. Jiti Group Weapon Routine	Wushu Taolu	Emeishan
1	01314	MALAK MOHAMED Omar Montasser	EGY	8.9	1ST Prize	. Jiti Group Weapon Routine	Wushu Taolu	Emeishan
1	01314	MOHAMED AHMED Fathalla Taha	EGY	8.9	1ST Prize	. Jiti Group Weapon Routine	Wushu Taolu	Emeishan
1	01314	MOHAMED ELAGAMI Abdalla Rashad	EGY	8.9	1ST Prize	. Jiti Group Weapon Routine	Wushu Taolu	Emeishan
1	01314	MOHAMED IBRAHIM Mohamed Mokhtar	EGY	8.9	1ST Prize	. Jiti Group Weapon Routine	Wushu Taolu	Emeishan
1	01314	MOUSTAFA MOUSTAFA Abbas Abbas	EGY	8.9	1ST Prize	. Jiti Group Weapon Routine	Wushu Taolu	Emeishan
1	01314	NASR IBRAHIM Tawﬁk Mossad Salem	EGY	8.9	1ST Prize	. Jiti Group Weapon Routine	Wushu Taolu	Emeishan
1	01314	OMAR EMAD Shehata Tony	EGY	8.9	1ST Prize	. Jiti Group Weapon Routine	Wushu Taolu	Emeishan
1	01314	YOUSSEF OSAMA Abdelhalim Elsaeed	EGY	8.9	1ST Prize	. Jiti Group Weapon Routine	Wushu Taolu	Emeishan
1	01314	ZIAD AHMED Samy Mohamed	EGY	8.9	1ST Prize	. Jiti Group Weapon Routine	Wushu Taolu	Emeishan
2	04101	AKYUZ Ayse Sude	TUR	8.84	1ST Prize	. Jiti Group Weapon Routine	Wushu Taolu	Emeishan
2	04101	AKYUZ Elif	TUR	8.84	1ST Prize	. Jiti Group Weapon Routine	Wushu Taolu	Emeishan
2	04101	AKYUZ NecmettİN Erbakan	TUR	8.84	1ST Prize	. Jiti Group Weapon Routine	Wushu Taolu	Emeishan
2	04101	AKYUZ Zeynep Makbule	TUR	8.84	1ST Prize	. Jiti Group Weapon Routine	Wushu Taolu	Emeishan
2	04101	ALTUN Sude Merve	TUR	8.84	1ST Prize	. Jiti Group Weapon Routine	Wushu Taolu	Emeishan
2	04101	COKHAMUR Ecrin	TUR	8.84	1ST Prize	. Jiti Group Weapon Routine	Wushu Taolu	Emeishan
2	04101	COSKUN Ayse Sina	TUR	8.84	1ST Prize	. Jiti Group Weapon Routine	Wushu Taolu	Emeishan
2	04101	KAMA Muhammet Can	TUR	8.84	1ST Prize	. Jiti Group Weapon Routine	Wushu Taolu	Emeishan
2	04101	KESKIN Ahmet Taha	TUR	8.84	1ST Prize	. Jiti Group Weapon Routine	Wushu Taolu	Emeishan
2	04101	KUCUKAKYUZ Kaan	TUR	8.84	1ST Prize	. Jiti Group Weapon Routine	Wushu Taolu	Emeishan
2	04101	YALKIN Osman	TUR	8.84	1ST Prize	. Jiti Group Weapon Routine	Wushu Taolu	Emeishan
3	03301	ANG Boon Seng Royce	SGP	8.73	2ND Prize	. Jiti Group Weapon Routine	Wushu Taolu	Emeishan
3	03301	DONG Xinyu	SGP	8.73	2ND Prize	. Jiti Group Weapon Routine	Wushu Taolu	Emeishan
3	03301	LIM Che How	SGP	8.73	2ND Prize	. Jiti Group Weapon Routine	Wushu Taolu	Emeishan
3	03301	MOHAMMED Ahmad Faizal	SGP	8.73	2ND Prize	. Jiti Group Weapon Routine	Wushu Taolu	Emeishan
3	03301	NG Chiew Yen	SGP	8.73	2ND Prize	. Jiti Group Weapon Routine	Wushu Taolu	Emeishan
3	03301	TAY Ah Huat	SGP	8.73	2ND Prize	. Jiti Group Weapon Routine	Wushu Taolu	Emeishan
3	03301	TAY Kai Xin Ranice	SGP	8.73	2ND Prize	. Jiti Group Weapon Routine	Wushu Taolu	Emeishan
4	00701	Ashleigh Nicola Jade WYKES	GBR	8.71	2ND Prize	. Jiti Group Weapon Routine	Wushu Taolu	Emeishan
4	00701	Brandon Lee SANDALLS	GBR	8.71	2ND Prize	. Jiti Group Weapon Routine	Wushu Taolu	Emeishan
4	00701	Cam'Ron Yiu Fung TSANG	GBR	8.71	2ND Prize	. Jiti Group Weapon Routine	Wushu Taolu	Emeishan
4	00701	Connor James BLACK	GBR	8.71	2ND Prize	. Jiti Group Weapon Routine	Wushu Taolu	Emeishan
4	00701	Connor James BLACK	GBR	8.71	2ND Prize	. Jiti Group Weapon Routine	Wushu Taolu	Emeishan
4	00701	Daniel John Joseph SHAW-ABULAFIA	GBR	8.71	2ND Prize	. Jiti Group Weapon Routine	Wushu Taolu	Emeishan
4	00701	Devante DARNELL-HAZLE	GBR	8.71	2ND Prize	. Jiti Group Weapon Routine	Wushu Taolu	Emeishan
4	00701	Jack William CALDICOTT	GBR	8.71	2ND Prize	. Jiti Group Weapon Routine	Wushu Taolu	Emeishan
4	00701	Lilly May WRIGHT	GBR	8.71	2ND Prize	. Jiti Group Weapon Routine	Wushu Taolu	Emeishan
4	00701	LIU Dominik Xinyang	GBR	8.71	2ND Prize	. Jiti Group Weapon Routine	Wushu Taolu	Emeishan
4	00701	Matthew Carleton WRIGHT	GBR	8.71	2ND Prize	. Jiti Group Weapon Routine	Wushu Taolu	Emeishan
4	00701	Michele Maki NAKASONE	GBR	8.71	2ND Prize	. Jiti Group Weapon Routine	Wushu Taolu	Emeishan
4	00701	Patricia FERNANDES LULIA JACOB	GBR	8.71	2ND Prize	. Jiti Group Weapon Routine	Wushu Taolu	Emeishan
5	03505	DU PLESSIS Alexander Dirk	ZAF	8.64	2ND Prize	. Jiti Group Weapon Routine	Wushu Taolu	Emeishan
5	03505	DU PLESSIS Nerine	ZAF	8.64	2ND Prize	. Jiti Group Weapon Routine	Wushu Taolu	Emeishan
5	03505	FIETZE Mila Claryssa Esselen	ZAF	8.64	2ND Prize	. Jiti Group Weapon Routine	Wushu Taolu	Emeishan
5	03505	JACOBS Bianca Candice	ZAF	8.64	2ND Prize	. Jiti Group Weapon Routine	Wushu Taolu	Emeishan
5	03505	JACOBS Shannon Stephanie	ZAF	8.64	2ND Prize	. Jiti Group Weapon Routine	Wushu Taolu	Emeishan
5	03505	VAN DER MESCHT Kitana Cora	ZAF	8.64	2ND Prize	. Jiti Group Weapon Routine	Wushu Taolu	Emeishan
6	04202	FESCHENKO Daniil	UKR	8.63	3RD Prize	. Jiti Group Weapon Routine	Wushu Taolu	Emeishan
6	04202	HASHCHUK Artem	UKR	8.63	3RD Prize	. Jiti Group Weapon Routine	Wushu Taolu	Emeishan
6	04202	IVANOVA Oryna	UKR	8.63	3RD Prize	. Jiti Group Weapon Routine	Wushu Taolu	Emeishan
6	04202	KOLISNYK Oleksii	UKR	8.63	3RD Prize	. Jiti Group Weapon Routine	Wushu Taolu	Emeishan
6	04202	KOVALOV Mykyta	UKR	8.63	3RD Prize	. Jiti Group Weapon Routine	Wushu Taolu	Emeishan
6	04202	KRYSKO Alina	UKR	8.63	3RD Prize	. Jiti Group Weapon Routine	Wushu Taolu	Emeishan
6	04202	KRYSKO Viacheslav	UKR	8.63	3RD Prize	. Jiti Group Weapon Routine	Wushu Taolu	Emeishan
6	04202	NAIDA Bohdan	UKR	8.63	3RD Prize	. Jiti Group Weapon Routine	Wushu Taolu	Emeishan
6	04202	OLIINYK Andrii	UKR	8.63	3RD Prize	. Jiti Group Weapon Routine	Wushu Taolu	Emeishan
6	04202	POLTORATSKA Yana	UKR	8.63	3RD Prize	. Jiti Group Weapon Routine	Wushu Taolu	Emeishan
6	04202	REVA Roman	UKR	8.63	3RD Prize	. Jiti Group Weapon Routine	Wushu Taolu	Emeishan
6	04202	SHYNKARENKO Volodymyr	UKR	8.63	3RD Prize	. Jiti Group Weapon Routine	Wushu Taolu	Emeishan
6	04202	YAZYKOVA Maryna	UKR	8.63	3RD Prize	. Jiti Group Weapon Routine	Wushu Taolu	Emeishan
7	03901	KOKUMBEK KYZY Eles	KGZ	8.6	3RD Prize	. Jiti Group Weapon Routine	Wushu Taolu	Emeishan
7	03901	LOPATKIN Evgenii	KGZ	8.6	3RD Prize	. Jiti Group Weapon Routine	Wushu Taolu	Emeishan
7	03901	NESHCHERET Natalia	KGZ	8.6	3RD Prize	. Jiti Group Weapon Routine	Wushu Taolu	Emeishan
7	03901	PAK Tatiana	KGZ	8.6	3RD Prize	. Jiti Group Weapon Routine	Wushu Taolu	Emeishan
7	03901	PAVLENKO Elena	KGZ	8.6	3RD Prize	. Jiti Group Weapon Routine	Wushu Taolu	Emeishan
7	03901	SERIAKOVA Liubov	KGZ	8.6	3RD Prize	. Jiti Group Weapon Routine	Wushu Taolu	Emeishan
7	03901	TASHMATOVA Aisalkyn	KGZ	8.6	3RD Prize	. Jiti Group Weapon Routine	Wushu Taolu	Emeishan
8	00601	ALENCAR RIBEIRO Regina Helena	BRA	8.44	3RD Prize	. Jiti Group Weapon Routine	Wushu Taolu	Emeishan
8	00601	MASCHERPE CUELBAS Joao Pedro	BRA	8.44	3RD Prize	. Jiti Group Weapon Routine	Wushu Taolu	Emeishan
8	00601	NADARIO FREITAS Maria Eduarda	BRA	8.44	3RD Prize	. Jiti Group Weapon Routine	Wushu Taolu	Emeishan
8	00601	PATTARO DE MENDONÇA Solange	BRA	8.44	3RD Prize	. Jiti Group Weapon Routine	Wushu Taolu	Emeishan
8	00601	ROMANO CARDOSO SILVESTRE Nina	BRA	8.44	3RD Prize	. Jiti Group Weapon Routine	Wushu Taolu	Emeishan
8	00601	TIBIRIÇÁ BATATA Victor Matheus	BRA	8.44	3RD Prize	. Jiti Group Weapon Routine	Wushu Taolu	Emeishan
9	04901	ADHIKARI MUDIYANSELAGE Keshan Adhikari	LKA	8.41		. Jiti Group Weapon Routine	Wushu Taolu	Emeishan
9	04901	DAUNDASEKARA MUDIYANSELAGE Sachari Lanka	LKA	8.41		. Jiti Group Weapon Routine	Wushu Taolu	Emeishan
9	04901	HERATH MUDIYANSELAGE Ananda Kumara	LKA	8.41		. Jiti Group Weapon Routine	Wushu Taolu	Emeishan
9	04901	IMBULAPITIYE GEDARA Pramodya Sewmini Rathnayake	LKA	8.41		. Jiti Group Weapon Routine	Wushu Taolu	Emeishan
9	04901	IMI ARACHILLAGE Anuhas Chandupa Ranaweera	LKA	8.41		. Jiti Group Weapon Routine	Wushu Taolu	Emeishan
9	04901	KARUNANAYAKA MUDIYANSELAGE Anuja Chamod	LKA	8.41		. Jiti Group Weapon Routine	Wushu Taolu	Emeishan
9	04901	WITHANAGE Oshan Chalakshana	LKA	8.41		. Jiti Group Weapon Routine	Wushu Taolu	Emeishan
10	02701	CHONG CHAP SIN Marie Kim Lan	MUS	7.55		. Jiti Group Weapon Routine	Wushu Taolu	Emeishan
10	02701	LEE MO LIN Estelle Shannon Lian Chu	MUS	7.55		. Jiti Group Weapon Routine	Wushu Taolu	Emeishan
10	02701	SOWARUTH Dishita	MUS	7.55		. Jiti Group Weapon Routine	Wushu Taolu	Emeishan
10	02701	WONG KAM LAN Jessica Rachel	MUS	7.55		. Jiti Group Weapon Routine	Wushu Taolu	Emeishan
11	00502	GUEVARA PINEDO Wara Lucero	BOL	7.26		. Jiti Group Weapon Routine	Wushu Taolu	Emeishan
11	00502	HUANACUNI BALDIVIESO Maya Melisa	BOL	7.26		. Jiti Group Weapon Routine	Wushu Taolu	Emeishan
11	00502	HUANACUNI PINEDO Huaskar Soriam	BOL	7.26		. Jiti Group Weapon Routine	Wushu Taolu	Emeishan
11	00502	LEON RAZNATOVIC Darko Alejandro	BOL	7.26		. Jiti Group Weapon Routine	Wushu Taolu	Emeishan
11	00502	PINEDO SORUCO Cecilia Esperanza	BOL	7.26		. Jiti Group Weapon Routine	Wushu Taolu	Emeishan
	04003	ESSID Ahmed	TUN	(DNS)		. Jiti Group Weapon Routine	Wushu Taolu	Emeishan
	04003	HAMLI Othmane	TUN	(DNS)		. Jiti Group Weapon Routine	Wushu Taolu	Emeishan
	04003	JRIBI Chourouk	TUN	(DNS)		. Jiti Group Weapon Routine	Wushu Taolu	Emeishan
